"LB2NEPCT.Code.or.Value","LB2NEPCT.Value.Description","LB2NEPCT.Count","LB2NEPCT.Cumulative","LB2NEPCT.Skip.to.Item"
"25 to 86.3","Range of Values",551,551,NA
".","Missing",6,557,NA
