"PHQ020.Code.or.Value","PHQ020.Value.Description","PHQ020.Count","PHQ020.Cumulative","PHQ020.Skip.to.Item"
"1","Yes",68,68,NA
"2","No",8843,8911,NA
".","Missing",254,9165,NA
