"DRD350H.Code.or.Value","DRD350H.Value.Description","DRD350H.Count","DRD350H.Cumulative","DRD350H.Skip.to.Item"
"1","Yes",1130,1130,""
"2","No",175,1305,"DRD350I"
".","Missing",9172,10477,""
