"DXDRALE.Code.or.Value","DXDRALE.Value.Description","DXDRALE.Count","DXDRALE.Cumulative","DXDRALE.Skip.to.Item"
"597.5 to 8611.3","Range of Values",4961,4961,NA
".","Missing",819,5780,NA
