"URDUMOLC.Code.or.Value","URDUMOLC.Value.Description","URDUMOLC.Count","URDUMOLC.Cumulative","URDUMOLC.Skip.to.Item"
"0","At or above the detection limit",3060,3060,NA
"1","Below lower detection limit",0,3060,NA
".","Missing",219,3279,NA
