"BIDFFM.Code.or.Value","BIDFFM.Value.Description","BIDFFM.Count","BIDFFM.Cumulative","BIDFFM.Skip.to.Item"
"14.1 to 105.6","Range of Values",4159,4159,NA
".","Missing",1170,5329,NA
