"DRQ370JQ.Code.or.Value","DRQ370JQ.Value.Description","DRQ370JQ.Count","DRQ370JQ.Cumulative","DRQ370JQ.Skip.to.Item"
"1 to 8","Range of Values",8,8,NA
".","Missing",9274,9282,NA
