"DS1TLZ.Code.or.Value","DS1TLZ.Value.Description","DS1TLZ.Count","DS1TLZ.Cumulative","DS1TLZ.Skip.to.Item"
"100 to 83200","Range of Values",446,446,NA
".","Missing",9098,9544,NA
