"DSQTPFAT.Code.or.Value","DSQTPFAT.Value.Description","DSQTPFAT.Count","DSQTPFAT.Cumulative","DSQTPFAT.Skip.to.Item"
"0.017 to 9.167","Range of Values",314,314,NA
".","Missing",9442,9756,NA
