"DS2TVB12.Code.or.Value","DS2TVB12.Value.Description","DS2TVB12.Count","DS2TVB12.Cumulative","DS2TVB12.Skip.to.Item"
"0 to 18000","Range of Values",1856,1856,NA
".","Missing",7906,9762,NA
