"URD4DALC.Code.or.Value","URD4DALC.Value.Description","URD4DALC.Count","URD4DALC.Cumulative","URD4DALC.Skip.to.Item"
"0","At or above detection limit",176,176,NA
"1","Below lower detection limit",2419,2595,NA
".","Missing",684,3279,NA
