"DR2TKCAL.Code.or.Value","DR2TKCAL.Value.Description","DR2TKCAL.Count","DR2TKCAL.Cumulative","DR2TKCAL.Skip.to.Item"
"0 to 8976","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
