"URXUIO.Code.or.Value","URXUIO.Value.Description","URXUIO.Count","URXUIO.Cumulative","URXUIO.Skip.to.Item"
"2.9 to 1406700","Range of Values",2649,2649,NA
".","Missing",107,2756,NA
