"LEALPTPD.Code.or.Value","LEALPTPD.Value.Description","LEALPTPD.Count","LEALPTPD.Cumulative","LEALPTPD.Skip.to.Item"
"1","Yes",275,275,NA
"2","No",54,329,NA
"8","Could not obtain",0,329,NA
".","Missing",2757,3086,NA
