"URXOP6.Code.or.Value","URXOP6.Value.Description","URXOP6.Count","URXOP6.Cumulative","URXOP6.Skip.to.Item"
"0.28 to 11.26","Range of Values",2420,2420,NA
".","Missing",336,2756,NA
