"OSQ080.Code.or.Value","OSQ080.Value.Description","OSQ080.Count","OSQ080.Cumulative","OSQ080.Skip.to.Item"
"1","Yes",1264,1264,""
"2","No",4667,5931,"OSQ060"
"7","Refused",0,5931,"OSQ060"
"9","Don't know",4,5935,"OSQ060"
".","Missing",0,5935,""
