"MCQ160m.Code.or.Value","MCQ160m.Value.Description","MCQ160m.Count","MCQ160m.Cumulative","MCQ160m.Skip.to.Item"
"1","Yes",601,601,""
"2","No",5157,5758,"MCQ160k"
"7","Refused",0,5758,"MCQ160k"
"9","Don't know",11,5769,"MCQ160k"
".","Missing",4001,9770,""
