"OHQ070U.Code.or.Value","OHQ070U.Value.Description","OHQ070U.Count","OHQ070U.Cumulative","OHQ070U.Skip.to.Item"
"1","Days",22,22,NA
"2","Weeks",34,56,NA
"3","Months",579,635,NA
"4","Years",4598,5233,NA
"7","Refused",0,5233,NA
"9","Don't know",0,5233,NA
".","Missing",3997,9230,NA
