"DR1ICOPP.Code.or.Value","DR1ICOPP.Value.Description","DR1ICOPP.Count","DR1ICOPP.Cumulative","DR1ICOPP.Skip.to.Item"
"0 to 29.997","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
