"OSQ130.Code.or.Value","OSQ130.Value.Description","OSQ130.Count","OSQ130.Cumulative","OSQ130.Skip.to.Item"
"1","Yes",279,279,""
"2","No",5896,6175,"OSQ150"
"7","Refused",1,6176,"OSQ150"
"9","Don't know",42,6218,"OSQ150"
".","Missing",0,6218,""
