"RFXC041.Code.or.Value","RFXC041.Value.Description","RFXC041.Count","RFXC041.Cumulative","RFXC041.Skip.to.Item"
"-6.516 to 3.729","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
