"DR2TPOTA.Code.or.Value","DR2TPOTA.Value.Description","DR2TPOTA.Count","DR2TPOTA.Cumulative","DR2TPOTA.Skip.to.Item"
"0 to 19663","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
