"LBCTNA.Code.or.Value","LBCTNA.Value.Description","LBCTNA.Count","LBCTNA.Cumulative","LBCTNA.Skip.to.Item"
"0.0044 to 0.8866","Range of Values",264,264,NA
".","Missing",0,264,NA
