"LBDTT3SI.Code.or.Value","LBDTT3SI.Value.Description","LBDTT3SI.Count","LBDTT3SI.Cumulative","LBDTT3SI.Skip.to.Item"
"1 to 4","Range of Values",1969,1969,NA
".","Missing",208,2177,NA
