"LBXDTC.Code.or.Value","LBXDTC.Value.Description","LBXDTC.Count","LBXDTC.Cumulative","LBXDTC.Skip.to.Item"
"3 to 126","Range of Values",5146,5146,NA
"2","Fill Value of Limit of Detection",2122,7268,NA
".","Missing",714,7982,NA
