"RFXC045.Code.or.Value","RFXC045.Value.Description","RFXC045.Count","RFXC045.Cumulative","RFXC045.Skip.to.Item"
"-7.831 to 5.267","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
