"FSQ012.Code.or.Value","FSQ012.Value.Description","FSQ012.Count","FSQ012.Cumulative","FSQ012.Skip.to.Item"
"1","Yes",2977,2977,""
"2","No",1573,4550,"FSD855"
"7","Refused",0,4550,"FSD855"
"9","Don't know",6,4556,"FSD855"
".","Missing",5415,9971,""
