"HCQ220.Code.or.Value","HCQ220.Value.Description","HCQ220.Count","HCQ220.Cumulative","HCQ220.Skip.to.Item"
"1","True",21,21,NA
"2","False",9,30,NA
"7","Refused",1,31,NA
"9","Don't know",9,40,NA
".","Missing",47,87,NA
