"OPX1OSFP.Code.or.Value","OPX1OSFP.Value.Description","OPX1OSFP.Count","OPX1OSFP.Cumulative","OPX1OSFP.Skip.to.Item"
"0","Test not performed",35,35,NA
"1","0/3",2936,2971,NA
"2","1/3",305,3276,NA
"3","2/3",51,3327,NA
"4","3/3",25,3352,NA
".","Missing",511,3863,NA
