"BAQ030A.Code.or.Value","BAQ030A.Value.Description","BAQ030A.Count","BAQ030A.Cumulative","BAQ030A.Skip.to.Item"
"1","Less than 2 weeks",459,459,"BAQ020b"
"2","2 weeks to 3 months",44,503,"BAQ020b"
"3","More than 3 months",156,659,"BAQ020b"
"7","Refused",0,659,"BAQ020b"
"9","Don't know",4,663,"BAQ020b"
".","Missing",2636,3299,""
