"AUXR6KL.Code.or.Value","AUXR6KL.Value.Description","AUXR6KL.Count","AUXR6KL.Cumulative","AUXR6KL.Skip.to.Item"
"15 to 110","Range of Values",35,35,NA
"666","No response",1,36,NA
"888","Could not obtain",0,36,NA
".","Missing",4464,4500,NA
