"MCQ240q.Code.or.Value","MCQ240q.Value.Description","MCQ240q.Count","MCQ240q.Cumulative","MCQ240q.Skip.to.Item"
"41 to 50","Range of Values",4,4,NA
"80","80 years or older",0,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",9766,9770,NA
