"BIXC339K.Code.or.Value","BIXC339K.Value.Description","BIXC339K.Count","BIXC339K.Cumulative","BIXC339K.Skip.to.Item"
"10.42 to 122.65","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
