"VTQ280C.Code.or.Value","VTQ280C.Value.Description","VTQ280C.Count","VTQ280C.Cumulative","VTQ280C.Skip.to.Item"
"1","Yes",261,261,NA
"2","No",2978,3239,NA
"7","Refused",0,3239,NA
"9","Don't know",1,3240,NA
".","Missing",305,3545,NA
