"AGQ100.Code.or.Value","AGQ100.Value.Description","AGQ100.Count","AGQ100.Cumulative","AGQ100.Skip.to.Item"
"1","Yes",2676,2676,""
"2","No",7142,9818,"AGQ120"
"7","Refused",0,9818,"AGQ120"
"9","Don't know",4,9822,"AGQ120"
".","Missing",0,9822,""
