"BPXSY4.Code.or.Value","BPXSY4.Value.Description","BPXSY4.Count","BPXSY4.Cumulative","BPXSY4.Skip.to.Item"
"72 to 234","Range of Values",1643,1643,NA
".","Missing",7639,9282,NA
