"LBXV4C.Code.or.Value","LBXV4C.Value.Description","LBXV4C.Count","LBXV4C.Cumulative","LBXV4C.Skip.to.Item"
"0.0187 to 14.6","Range of Values",978,978,NA
".","Missing",471,1449,NA
