"DEQ034C.Code.or.Value","DEQ034C.Value.Description","DEQ034C.Count","DEQ034C.Cumulative","DEQ034C.Skip.to.Item"
"1","Always",257,257,NA
"2","Most of the time",254,511,NA
"3","Sometimes",957,1468,NA
"4","Rarely, or",870,2338,NA
"5","Never?",1464,3802,NA
"7","Refused",0,3802,NA
"9","Don't know",1,3803,NA
".","Missing",15,3818,NA
