"LBC066LA.Code.or.Value","LBC066LA.Value.Description","LBC066LA.Count","LBC066LA.Cumulative","LBC066LA.Skip.to.Item"
"0.16 to 10.97","Range of Values",247,247,NA
".","Missing",0,247,NA
