"RDQ031.Code.or.Value","RDQ031.Value.Description","RDQ031.Count","RDQ031.Cumulative","RDQ031.Skip.to.Item"
"1","Yes",521,521,""
"2","No",6819,7340,"RDQ050"
"7","Refused",0,7340,"RDQ050"
"9","Don't know",4,7344,"RDQ050"
".","Missing",2301,9645,""
