"WBXA012.Code.or.Value","WBXA012.Value.Description","WBXA012.Count","WBXA012.Cumulative","WBXA012.Skip.to.Item"
"-18.7681 to 0.9978","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
