"URDGAMLC.Code.or.Value","URDGAMLC.Value.Description","URDGAMLC.Count","URDGAMLC.Cumulative","URDGAMLC.Skip.to.Item"
"0","At or above the detection limit",1066,1066,NA
"1","Below lower detection limit",1589,2655,NA
".","Missing",324,2979,NA
