"URXOP1.Code.or.Value","URXOP1.Value.Description","URXOP1.Count","URXOP1.Cumulative","URXOP1.Skip.to.Item"
"0.33 to 673.42","Range of Values",2635,2635,NA
".","Missing",121,2756,NA
