"VTQ260A.Code.or.Value","VTQ260A.Value.Description","VTQ260A.Count","VTQ260A.Cumulative","VTQ260A.Skip.to.Item"
"1","Yes",123,123,NA
"2","No",1339,1462,NA
"7","Refused",2,1464,NA
"9","Don't know",0,1464,NA
".","Missing",25,1489,NA
