"DTQ230U.Code.or.Value","DTQ230U.Value.Description","DTQ230U.Count","DTQ230U.Cumulative","DTQ230U.Skip.to.Item"
"1","Day",267,267,NA
"2","Week",1493,1760,NA
"3","Month",3159,4919,NA
"7","Refused",3,4922,NA
"9","Don't know",5,4927,NA
".","Missing",3614,8541,NA
