"WTMREP34.Code.or.Value","WTMREP34.Value.Description","WTMREP34.Count","WTMREP34.Cumulative","WTMREP34.Skip.to.Item"
"0 to 261548.40488","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
