"DR1IVC.Code.or.Value","DR1IVC.Value.Description","DR1IVC.Count","DR1IVC.Cumulative","DR1IVC.Skip.to.Item"
"0 to 1333.2","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
