"DMDBORN2.Code.or.Value","DMDBORN2.Value.Description","DMDBORN2.Count","DMDBORN2.Cumulative","DMDBORN2.Skip.to.Item"
"1","Born in 50 US States or Washington, DC",8399,8399,NA
"2","Born in Mexico",730,9129,NA
"4","Born in Other Spanish Speaking Country",583,9712,NA
"5","Born in Other Non-Spanish Speaking Country",431,10143,NA
"7","Refused",5,10148,NA
"9","Don't Know",1,10149,NA
".","Missing",0,10149,NA
