"SXD171.Code.or.Value","SXD171.Value.Description","SXD171.Count","SXD171.Cumulative","SXD171.Skip.to.Item"
"0 to 1000","Range of Values",2173,2173,NA
"2000","2000 or more",0,2173,NA
"77777","Refused",14,2187,NA
"99999","Don't know",10,2197,NA
".","Missing",2860,5057,NA
