"RFXC012.Code.or.Value","RFXC012.Value.Description","RFXC012.Count","RFXC012.Cumulative","RFXC012.Skip.to.Item"
"-4.403 to 3.837","Range of Values",51073,51073,NA
".","Missing",3,51076,NA
