"DR2IPOTA.Code.or.Value","DR2IPOTA.Value.Description","DR2IPOTA.Count","DR2IPOTA.Cumulative","DR2IPOTA.Skip.to.Item"
"0 to 18792","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
