"DRD350J.Code.or.Value","DRD350J.Value.Description","DRD350J.Count","DRD350J.Cumulative","DRD350J.Skip.to.Item"
"1","Yes",12,12,""
"2","No",3747,3759,"DRD350K"
".","Missing",6003,9762,""
