"PFQ069lQ.Code.or.Value","PFQ069lQ.Value.Description","PFQ069lQ.Count","PFQ069lQ.Cumulative","PFQ069lQ.Skip.to.Item"
"22 to 40","Range of Values",5,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",0,5,NA
".","Missing",9488,9493,NA
