"ACD080.Code.or.Value","ACD080.Value.Description","ACD080.Count","ACD080.Cumulative","ACD080.Skip.to.Item"
"1","United States, except Puerto Rico",734,734,NA
"2","Puerto Rico",86,820,NA
"4","Mexico",1284,2104,NA
"5","Other country",141,2245,NA
"77","Refused",0,2245,NA
"99","Don't know",9,2254,NA
".","Missing",5644,7898,NA
