"RFXC152.Code.or.Value","RFXC152.Value.Description","RFXC152.Count","RFXC152.Cumulative","RFXC152.Skip.to.Item"
"-7.091 to 7.517","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
