"RFXC066.Code.or.Value","RFXC066.Value.Description","RFXC066.Count","RFXC066.Cumulative","RFXC066.Skip.to.Item"
"-6.665 to 4.794","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
