"SDMVPSU.Code.or.Value","SDMVPSU.Value.Description","SDMVPSU.Count","SDMVPSU.Cumulative","SDMVPSU.Skip.to.Item"
"1 to 2","Range of Values",10149,10149,NA
".","Missing",0,10149,NA
