"LBXF03.Code.or.Value","LBXF03.Value.Description","LBXF03.Count","LBXF03.Cumulative","LBXF03.Skip.to.Item"
"7.71 to 478.7","Range of Values",1895,1895,NA
".","Missing",379,2274,NA
