"LBCBR2LA.Code.or.Value","LBCBR2LA.Value.Description","LBCBR2LA.Count","LBCBR2LA.Cumulative","LBCBR2LA.Skip.to.Item"
"0.2622 to 9.792","Range of Values",284,284,NA
".","Missing",0,284,NA
