"DXDSTBMD.Code.or.Value","DXDSTBMD.Value.Description","DXDSTBMD.Count","DXDSTBMD.Cumulative","DXDSTBMD.Skip.to.Item"
"0.427 to 1.375","Range of Values",4602,4602,NA
".","Missing",1178,5780,NA
