"SSSalIgA.Code.or.Value","SSSalIgA.Value.Description","SSSalIgA.Count","SSSalIgA.Cumulative","SSSalIgA.Skip.to.Item"
"0.004 to 2.471","Range of Values",1113,1113,NA
".","Missing",14,1127,NA
