"DED011.Code.or.Value","DED011.Value.Description","DED011.Count","DED011.Cumulative","DED011.Skip.to.Item"
"0","None",2330,2330,NA
"1","1 or 2",557,2887,NA
"2","3 to 5",185,3072,NA
"3","6 to 10",33,3105,NA
"4","More than 10",27,3132,NA
"7","Refused",0,3132,NA
"9","Don't know",6,3138,NA
".","Missing",2,3140,NA
