"BIXC200K.Code.or.Value","BIXC200K.Value.Description","BIXC200K.Count","BIXC200K.Cumulative","BIXC200K.Skip.to.Item"
"21.72 to 116.54","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
