"ORXH39.Code.or.Value","ORXH39.Value.Description","ORXH39.Count","ORXH39.Cumulative","ORXH39.Skip.to.Item"
"1","Positive",11,11,NA
"2","Negative",4399,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
